threshold_file,label,threshold
results/internal/fair_concat/fair_concat_thresholds.json,CD,0.35
results/internal/fair_concat/fair_concat_thresholds.json,HYP,0.45
results/internal/fair_concat/fair_concat_thresholds.json,MI,0.18
results/internal/fair_concat/fair_concat_thresholds.json,NORM,0.48
results/internal/fair_concat/fair_concat_thresholds.json,STTC,0.45
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,CD,0.52
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,HYP,0.3
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,MI,0.32
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,NORM,0.52
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,STTC,0.3
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,CD,0.36
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,HYP,0.34
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,MI,0.39
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,NORM,0.32
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,STTC,0.31
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,CD,0.35
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,HYP,0.45
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,MI,0.18
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,NORM,0.48
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,STTC,0.45
results/internal/ablation_structured/structured_mlp_thresholds.json,CD,0.39
results/internal/ablation_structured/structured_mlp_thresholds.json,HYP,0.26
results/internal/ablation_structured/structured_mlp_thresholds.json,MI,0.35
results/internal/ablation_structured/structured_mlp_thresholds.json,NORM,0.47
results/internal/ablation_structured/structured_mlp_thresholds.json,STTC,0.35
results/internal/signal_strong/val_tuned_thresholds.json,CD,0.51
results/internal/signal_strong/val_tuned_thresholds.json,HYP,0.34
results/internal/signal_strong/val_tuned_thresholds.json,MI,0.3
results/internal/signal_strong/val_tuned_thresholds.json,NORM,0.42
results/internal/signal_strong/val_tuned_thresholds.json,STTC,0.38
results/internal/gated_fusion/gated_fusion_thresholds.json,CD,0.43
results/internal/gated_fusion/gated_fusion_thresholds.json,HYP,0.41
results/internal/gated_fusion/gated_fusion_thresholds.json,MI,0.38
results/internal/gated_fusion/gated_fusion_thresholds.json,NORM,0.47
results/internal/gated_fusion/gated_fusion_thresholds.json,STTC,0.37
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,CD,0.43
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,HYP,0.28
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,MI,0.24
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,NORM,0.52
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,STTC,0.3
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,CD,0.5
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,HYP,0.23
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,MI,0.37
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,NORM,0.52
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,STTC,0.33
results/internal/gated_fusion_repeated/seed_2026/gated_fusion_thresholds.json,CD,0.43
results/internal/gated_fusion_repeated/seed_2026/gated_fusion_thresholds.json,HYP,0.41
results/internal/gated_fusion_repeated/seed_2026/gated_fusion_thresholds.json,MI,0.38
results/internal/gated_fusion_repeated/seed_2026/gated_fusion_thresholds.json,NORM,0.47
results/internal/gated_fusion_repeated/seed_2026/gated_fusion_thresholds.json,STTC,0.37
results/internal/signal_strong_repeated/seed_2027/val_tuned_thresholds.json,CD,0.46
results/internal/signal_strong_repeated/seed_2027/val_tuned_thresholds.json,HYP,0.24
results/internal/signal_strong_repeated/seed_2027/val_tuned_thresholds.json,MI,0.19
results/internal/signal_strong_repeated/seed_2027/val_tuned_thresholds.json,NORM,0.48
results/internal/signal_strong_repeated/seed_2027/val_tuned_thresholds.json,STTC,0.43
results/internal/signal_strong_repeated/seed_2028/val_tuned_thresholds.json,CD,0.38
results/internal/signal_strong_repeated/seed_2028/val_tuned_thresholds.json,HYP,0.58
results/internal/signal_strong_repeated/seed_2028/val_tuned_thresholds.json,MI,0.32
results/internal/signal_strong_repeated/seed_2028/val_tuned_thresholds.json,NORM,0.39
results/internal/signal_strong_repeated/seed_2028/val_tuned_thresholds.json,STTC,0.44
results/internal/signal_strong_repeated/seed_2026/val_tuned_thresholds.json,CD,0.51
results/internal/signal_strong_repeated/seed_2026/val_tuned_thresholds.json,HYP,0.34
results/internal/signal_strong_repeated/seed_2026/val_tuned_thresholds.json,MI,0.3
results/internal/signal_strong_repeated/seed_2026/val_tuned_thresholds.json,NORM,0.42
results/internal/signal_strong_repeated/seed_2026/val_tuned_thresholds.json,STTC,0.38
results/internal/ablation_repeated/signal_embedding_mlp/seed_2027/signal_embedding_mlp_thresholds.json,CD,0.4
results/internal/ablation_repeated/signal_embedding_mlp/seed_2027/signal_embedding_mlp_thresholds.json,HYP,0.2
results/internal/ablation_repeated/signal_embedding_mlp/seed_2027/signal_embedding_mlp_thresholds.json,MI,0.43
results/internal/ablation_repeated/signal_embedding_mlp/seed_2027/signal_embedding_mlp_thresholds.json,NORM,0.59
results/internal/ablation_repeated/signal_embedding_mlp/seed_2027/signal_embedding_mlp_thresholds.json,STTC,0.33
results/internal/ablation_repeated/signal_embedding_mlp/seed_2028/signal_embedding_mlp_thresholds.json,CD,0.46
results/internal/ablation_repeated/signal_embedding_mlp/seed_2028/signal_embedding_mlp_thresholds.json,HYP,0.26
results/internal/ablation_repeated/signal_embedding_mlp/seed_2028/signal_embedding_mlp_thresholds.json,MI,0.36
results/internal/ablation_repeated/signal_embedding_mlp/seed_2028/signal_embedding_mlp_thresholds.json,NORM,0.55
results/internal/ablation_repeated/signal_embedding_mlp/seed_2028/signal_embedding_mlp_thresholds.json,STTC,0.33
results/internal/ablation_repeated/signal_embedding_mlp/seed_2026/signal_embedding_mlp_thresholds.json,CD,0.55
results/internal/ablation_repeated/signal_embedding_mlp/seed_2026/signal_embedding_mlp_thresholds.json,HYP,0.17
results/internal/ablation_repeated/signal_embedding_mlp/seed_2026/signal_embedding_mlp_thresholds.json,MI,0.41
results/internal/ablation_repeated/signal_embedding_mlp/seed_2026/signal_embedding_mlp_thresholds.json,NORM,0.52
results/internal/ablation_repeated/signal_embedding_mlp/seed_2026/signal_embedding_mlp_thresholds.json,STTC,0.35
results/internal/ablation_repeated/structured_mlp/seed_2027/structured_mlp_thresholds.json,CD,0.45
results/internal/ablation_repeated/structured_mlp/seed_2027/structured_mlp_thresholds.json,HYP,0.32
results/internal/ablation_repeated/structured_mlp/seed_2027/structured_mlp_thresholds.json,MI,0.29
results/internal/ablation_repeated/structured_mlp/seed_2027/structured_mlp_thresholds.json,NORM,0.34
results/internal/ablation_repeated/structured_mlp/seed_2027/structured_mlp_thresholds.json,STTC,0.37
results/internal/ablation_repeated/structured_mlp/seed_2028/structured_mlp_thresholds.json,CD,0.53
results/internal/ablation_repeated/structured_mlp/seed_2028/structured_mlp_thresholds.json,HYP,0.18
results/internal/ablation_repeated/structured_mlp/seed_2028/structured_mlp_thresholds.json,MI,0.39
results/internal/ablation_repeated/structured_mlp/seed_2028/structured_mlp_thresholds.json,NORM,0.44
results/internal/ablation_repeated/structured_mlp/seed_2028/structured_mlp_thresholds.json,STTC,0.34
results/internal/ablation_repeated/structured_mlp/seed_2026/structured_mlp_thresholds.json,CD,0.39
results/internal/ablation_repeated/structured_mlp/seed_2026/structured_mlp_thresholds.json,HYP,0.26
results/internal/ablation_repeated/structured_mlp/seed_2026/structured_mlp_thresholds.json,MI,0.35
results/internal/ablation_repeated/structured_mlp/seed_2026/structured_mlp_thresholds.json,NORM,0.47
results/internal/ablation_repeated/structured_mlp/seed_2026/structured_mlp_thresholds.json,STTC,0.35
results/internal/ablation_signal_embedding/signal_embedding_mlp_thresholds.json,CD,0.55
results/internal/ablation_signal_embedding/signal_embedding_mlp_thresholds.json,HYP,0.17
results/internal/ablation_signal_embedding/signal_embedding_mlp_thresholds.json,MI,0.41
results/internal/ablation_signal_embedding/signal_embedding_mlp_thresholds.json,NORM,0.52
results/internal/ablation_signal_embedding/signal_embedding_mlp_thresholds.json,STTC,0.35
