model_name,split,calibration_mode,label,bin,bin_left,bin_right,count
strong_signal_only,val,raw,NORM,0,0.0,0.1,843
strong_signal_only,val,raw,NORM,1,0.1,0.2,116
strong_signal_only,val,raw,NORM,2,0.2,0.30000000000000004,82
strong_signal_only,val,raw,NORM,3,0.30000000000000004,0.4,69
strong_signal_only,val,raw,NORM,4,0.4,0.5,63
strong_signal_only,val,raw,NORM,5,0.5,0.6000000000000001,79
strong_signal_only,val,raw,NORM,6,0.6000000000000001,0.7000000000000001,77
strong_signal_only,val,raw,NORM,7,0.7000000000000001,0.8,133
strong_signal_only,val,raw,NORM,8,0.8,0.9,186
strong_signal_only,val,raw,NORM,9,0.9,1.0,535
strong_signal_only,val,raw,MI,0,0.0,0.1,1399
strong_signal_only,val,raw,MI,1,0.1,0.2,153
strong_signal_only,val,raw,MI,2,0.2,0.30000000000000004,87
strong_signal_only,val,raw,MI,3,0.30000000000000004,0.4,75
strong_signal_only,val,raw,MI,4,0.4,0.5,78
strong_signal_only,val,raw,MI,5,0.5,0.6000000000000001,51
strong_signal_only,val,raw,MI,6,0.6000000000000001,0.7000000000000001,55
strong_signal_only,val,raw,MI,7,0.7000000000000001,0.8,62
strong_signal_only,val,raw,MI,8,0.8,0.9,73
strong_signal_only,val,raw,MI,9,0.9,1.0,150
strong_signal_only,val,raw,STTC,0,0.0,0.1,1172
strong_signal_only,val,raw,STTC,1,0.1,0.2,183
strong_signal_only,val,raw,STTC,2,0.2,0.30000000000000004,113
strong_signal_only,val,raw,STTC,3,0.30000000000000004,0.4,90
strong_signal_only,val,raw,STTC,4,0.4,0.5,73
strong_signal_only,val,raw,STTC,5,0.5,0.6000000000000001,72
strong_signal_only,val,raw,STTC,6,0.6000000000000001,0.7000000000000001,68
strong_signal_only,val,raw,STTC,7,0.7000000000000001,0.8,81
strong_signal_only,val,raw,STTC,8,0.8,0.9,116
strong_signal_only,val,raw,STTC,9,0.9,1.0,215
strong_signal_only,val,raw,CD,0,0.0,0.1,1314
strong_signal_only,val,raw,CD,1,0.1,0.2,168
strong_signal_only,val,raw,CD,2,0.2,0.30000000000000004,102
strong_signal_only,val,raw,CD,3,0.30000000000000004,0.4,53
strong_signal_only,val,raw,CD,4,0.4,0.5,59
strong_signal_only,val,raw,CD,5,0.5,0.6000000000000001,44
strong_signal_only,val,raw,CD,6,0.6000000000000001,0.7000000000000001,39
strong_signal_only,val,raw,CD,7,0.7000000000000001,0.8,48
strong_signal_only,val,raw,CD,8,0.8,0.9,75
strong_signal_only,val,raw,CD,9,0.9,1.0,281
strong_signal_only,val,raw,HYP,0,0.0,0.1,1296
strong_signal_only,val,raw,HYP,1,0.1,0.2,308
strong_signal_only,val,raw,HYP,2,0.2,0.30000000000000004,180
strong_signal_only,val,raw,HYP,3,0.30000000000000004,0.4,117
strong_signal_only,val,raw,HYP,4,0.4,0.5,67
strong_signal_only,val,raw,HYP,5,0.5,0.6000000000000001,53
strong_signal_only,val,raw,HYP,6,0.6000000000000001,0.7000000000000001,56
strong_signal_only,val,raw,HYP,7,0.7000000000000001,0.8,45
strong_signal_only,val,raw,HYP,8,0.8,0.9,42
strong_signal_only,val,raw,HYP,9,0.9,1.0,19
strong_signal_only,val,temperature_scaled,NORM,0,0.0,0.1,811
strong_signal_only,val,temperature_scaled,NORM,1,0.1,0.2,114
strong_signal_only,val,temperature_scaled,NORM,2,0.2,0.30000000000000004,98
strong_signal_only,val,temperature_scaled,NORM,3,0.30000000000000004,0.4,77
strong_signal_only,val,temperature_scaled,NORM,4,0.4,0.5,73
strong_signal_only,val,temperature_scaled,NORM,5,0.5,0.6000000000000001,93
strong_signal_only,val,temperature_scaled,NORM,6,0.6000000000000001,0.7000000000000001,93
strong_signal_only,val,temperature_scaled,NORM,7,0.7000000000000001,0.8,137
strong_signal_only,val,temperature_scaled,NORM,8,0.8,0.9,252
strong_signal_only,val,temperature_scaled,NORM,9,0.9,1.0,435
strong_signal_only,val,temperature_scaled,MI,0,0.0,0.1,1222
strong_signal_only,val,temperature_scaled,MI,1,0.1,0.2,235
strong_signal_only,val,temperature_scaled,MI,2,0.2,0.30000000000000004,126
strong_signal_only,val,temperature_scaled,MI,3,0.30000000000000004,0.4,103
strong_signal_only,val,temperature_scaled,MI,4,0.4,0.5,106
strong_signal_only,val,temperature_scaled,MI,5,0.5,0.6000000000000001,76
strong_signal_only,val,temperature_scaled,MI,6,0.6000000000000001,0.7000000000000001,72
strong_signal_only,val,temperature_scaled,MI,7,0.7000000000000001,0.8,71
strong_signal_only,val,temperature_scaled,MI,8,0.8,0.9,83
strong_signal_only,val,temperature_scaled,MI,9,0.9,1.0,89
strong_signal_only,val,temperature_scaled,STTC,0,0.0,0.1,1112
strong_signal_only,val,temperature_scaled,STTC,1,0.1,0.2,212
strong_signal_only,val,temperature_scaled,STTC,2,0.2,0.30000000000000004,122
strong_signal_only,val,temperature_scaled,STTC,3,0.30000000000000004,0.4,103
strong_signal_only,val,temperature_scaled,STTC,4,0.4,0.5,82
strong_signal_only,val,temperature_scaled,STTC,5,0.5,0.6000000000000001,80
strong_signal_only,val,temperature_scaled,STTC,6,0.6000000000000001,0.7000000000000001,77
strong_signal_only,val,temperature_scaled,STTC,7,0.7000000000000001,0.8,85
strong_signal_only,val,temperature_scaled,STTC,8,0.8,0.9,128
strong_signal_only,val,temperature_scaled,STTC,9,0.9,1.0,182
strong_signal_only,val,temperature_scaled,CD,0,0.0,0.1,1250
strong_signal_only,val,temperature_scaled,CD,1,0.1,0.2,211
strong_signal_only,val,temperature_scaled,CD,2,0.2,0.30000000000000004,108
strong_signal_only,val,temperature_scaled,CD,3,0.30000000000000004,0.4,62
strong_signal_only,val,temperature_scaled,CD,4,0.4,0.5,65
strong_signal_only,val,temperature_scaled,CD,5,0.5,0.6000000000000001,49
strong_signal_only,val,temperature_scaled,CD,6,0.6000000000000001,0.7000000000000001,38
strong_signal_only,val,temperature_scaled,CD,7,0.7000000000000001,0.8,59
strong_signal_only,val,temperature_scaled,CD,8,0.8,0.9,81
strong_signal_only,val,temperature_scaled,CD,9,0.9,1.0,260
strong_signal_only,val,temperature_scaled,HYP,0,0.0,0.1,1249
strong_signal_only,val,temperature_scaled,HYP,1,0.1,0.2,326
strong_signal_only,val,temperature_scaled,HYP,2,0.2,0.30000000000000004,197
strong_signal_only,val,temperature_scaled,HYP,3,0.30000000000000004,0.4,126
strong_signal_only,val,temperature_scaled,HYP,4,0.4,0.5,70
strong_signal_only,val,temperature_scaled,HYP,5,0.5,0.6000000000000001,55
strong_signal_only,val,temperature_scaled,HYP,6,0.6000000000000001,0.7000000000000001,57
strong_signal_only,val,temperature_scaled,HYP,7,0.7000000000000001,0.8,47
strong_signal_only,val,temperature_scaled,HYP,8,0.8,0.9,42
strong_signal_only,val,temperature_scaled,HYP,9,0.9,1.0,14
strong_signal_only,test,raw,NORM,0,0.0,0.1,829
strong_signal_only,test,raw,NORM,1,0.1,0.2,104
strong_signal_only,test,raw,NORM,2,0.2,0.30000000000000004,74
strong_signal_only,test,raw,NORM,3,0.30000000000000004,0.4,63
strong_signal_only,test,raw,NORM,4,0.4,0.5,72
strong_signal_only,test,raw,NORM,5,0.5,0.6000000000000001,88
strong_signal_only,test,raw,NORM,6,0.6000000000000001,0.7000000000000001,93
strong_signal_only,test,raw,NORM,7,0.7000000000000001,0.8,164
strong_signal_only,test,raw,NORM,8,0.8,0.9,203
strong_signal_only,test,raw,NORM,9,0.9,1.0,508
strong_signal_only,test,raw,MI,0,0.0,0.1,1417
strong_signal_only,test,raw,MI,1,0.1,0.2,173
strong_signal_only,test,raw,MI,2,0.2,0.30000000000000004,85
strong_signal_only,test,raw,MI,3,0.30000000000000004,0.4,66
strong_signal_only,test,raw,MI,4,0.4,0.5,56
strong_signal_only,test,raw,MI,5,0.5,0.6000000000000001,64
strong_signal_only,test,raw,MI,6,0.6000000000000001,0.7000000000000001,62
strong_signal_only,test,raw,MI,7,0.7000000000000001,0.8,54
strong_signal_only,test,raw,MI,8,0.8,0.9,70
strong_signal_only,test,raw,MI,9,0.9,1.0,151
strong_signal_only,test,raw,STTC,0,0.0,0.1,1214
strong_signal_only,test,raw,STTC,1,0.1,0.2,200
strong_signal_only,test,raw,STTC,2,0.2,0.30000000000000004,105
strong_signal_only,test,raw,STTC,3,0.30000000000000004,0.4,81
strong_signal_only,test,raw,STTC,4,0.4,0.5,62
strong_signal_only,test,raw,STTC,5,0.5,0.6000000000000001,64
strong_signal_only,test,raw,STTC,6,0.6000000000000001,0.7000000000000001,67
strong_signal_only,test,raw,STTC,7,0.7000000000000001,0.8,72
strong_signal_only,test,raw,STTC,8,0.8,0.9,103
strong_signal_only,test,raw,STTC,9,0.9,1.0,230
strong_signal_only,test,raw,CD,0,0.0,0.1,1286
strong_signal_only,test,raw,CD,1,0.1,0.2,214
strong_signal_only,test,raw,CD,2,0.2,0.30000000000000004,95
strong_signal_only,test,raw,CD,3,0.30000000000000004,0.4,69
strong_signal_only,test,raw,CD,4,0.4,0.5,53
strong_signal_only,test,raw,CD,5,0.5,0.6000000000000001,50
strong_signal_only,test,raw,CD,6,0.6000000000000001,0.7000000000000001,59
strong_signal_only,test,raw,CD,7,0.7000000000000001,0.8,63
strong_signal_only,test,raw,CD,8,0.8,0.9,60
strong_signal_only,test,raw,CD,9,0.9,1.0,249
strong_signal_only,test,raw,HYP,0,0.0,0.1,1325
strong_signal_only,test,raw,HYP,1,0.1,0.2,283
strong_signal_only,test,raw,HYP,2,0.2,0.30000000000000004,159
strong_signal_only,test,raw,HYP,3,0.30000000000000004,0.4,120
strong_signal_only,test,raw,HYP,4,0.4,0.5,78
strong_signal_only,test,raw,HYP,5,0.5,0.6000000000000001,64
strong_signal_only,test,raw,HYP,6,0.6000000000000001,0.7000000000000001,60
strong_signal_only,test,raw,HYP,7,0.7000000000000001,0.8,45
strong_signal_only,test,raw,HYP,8,0.8,0.9,42
strong_signal_only,test,raw,HYP,9,0.9,1.0,22
strong_signal_only,test,temperature_scaled,NORM,0,0.0,0.1,797
strong_signal_only,test,temperature_scaled,NORM,1,0.1,0.2,102
strong_signal_only,test,temperature_scaled,NORM,2,0.2,0.30000000000000004,87
strong_signal_only,test,temperature_scaled,NORM,3,0.30000000000000004,0.4,75
strong_signal_only,test,temperature_scaled,NORM,4,0.4,0.5,81
strong_signal_only,test,temperature_scaled,NORM,5,0.5,0.6000000000000001,100
strong_signal_only,test,temperature_scaled,NORM,6,0.6000000000000001,0.7000000000000001,119
strong_signal_only,test,temperature_scaled,NORM,7,0.7000000000000001,0.8,179
strong_signal_only,test,temperature_scaled,NORM,8,0.8,0.9,230
strong_signal_only,test,temperature_scaled,NORM,9,0.9,1.0,428
strong_signal_only,test,temperature_scaled,MI,0,0.0,0.1,1195
strong_signal_only,test,temperature_scaled,MI,1,0.1,0.2,281
strong_signal_only,test,temperature_scaled,MI,2,0.2,0.30000000000000004,153
strong_signal_only,test,temperature_scaled,MI,3,0.30000000000000004,0.4,82
strong_signal_only,test,temperature_scaled,MI,4,0.4,0.5,86
strong_signal_only,test,temperature_scaled,MI,5,0.5,0.6000000000000001,91
strong_signal_only,test,temperature_scaled,MI,6,0.6000000000000001,0.7000000000000001,75
strong_signal_only,test,temperature_scaled,MI,7,0.7000000000000001,0.8,69
strong_signal_only,test,temperature_scaled,MI,8,0.8,0.9,77
strong_signal_only,test,temperature_scaled,MI,9,0.9,1.0,89
strong_signal_only,test,temperature_scaled,STTC,0,0.0,0.1,1149
strong_signal_only,test,temperature_scaled,STTC,1,0.1,0.2,230
strong_signal_only,test,temperature_scaled,STTC,2,0.2,0.30000000000000004,126
strong_signal_only,test,temperature_scaled,STTC,3,0.30000000000000004,0.4,86
strong_signal_only,test,temperature_scaled,STTC,4,0.4,0.5,71
strong_signal_only,test,temperature_scaled,STTC,5,0.5,0.6000000000000001,68
strong_signal_only,test,temperature_scaled,STTC,6,0.6000000000000001,0.7000000000000001,77
strong_signal_only,test,temperature_scaled,STTC,7,0.7000000000000001,0.8,74
strong_signal_only,test,temperature_scaled,STTC,8,0.8,0.9,112
strong_signal_only,test,temperature_scaled,STTC,9,0.9,1.0,205
strong_signal_only,test,temperature_scaled,CD,0,0.0,0.1,1206
strong_signal_only,test,temperature_scaled,CD,1,0.1,0.2,259
strong_signal_only,test,temperature_scaled,CD,2,0.2,0.30000000000000004,107
strong_signal_only,test,temperature_scaled,CD,3,0.30000000000000004,0.4,83
strong_signal_only,test,temperature_scaled,CD,4,0.4,0.5,62
strong_signal_only,test,temperature_scaled,CD,5,0.5,0.6000000000000001,57
strong_signal_only,test,temperature_scaled,CD,6,0.6000000000000001,0.7000000000000001,63
strong_signal_only,test,temperature_scaled,CD,7,0.7000000000000001,0.8,65
strong_signal_only,test,temperature_scaled,CD,8,0.8,0.9,68
strong_signal_only,test,temperature_scaled,CD,9,0.9,1.0,228
strong_signal_only,test,temperature_scaled,HYP,0,0.0,0.1,1274
strong_signal_only,test,temperature_scaled,HYP,1,0.1,0.2,314
strong_signal_only,test,temperature_scaled,HYP,2,0.2,0.30000000000000004,167
strong_signal_only,test,temperature_scaled,HYP,3,0.30000000000000004,0.4,122
strong_signal_only,test,temperature_scaled,HYP,4,0.4,0.5,88
strong_signal_only,test,temperature_scaled,HYP,5,0.5,0.6000000000000001,66
strong_signal_only,test,temperature_scaled,HYP,6,0.6000000000000001,0.7000000000000001,63
strong_signal_only,test,temperature_scaled,HYP,7,0.7000000000000001,0.8,49
strong_signal_only,test,temperature_scaled,HYP,8,0.8,0.9,39
strong_signal_only,test,temperature_scaled,HYP,9,0.9,1.0,16
signal_embedding_mlp,val,raw,NORM,0,0.0,0.1,884
signal_embedding_mlp,val,raw,NORM,1,0.1,0.2,101
signal_embedding_mlp,val,raw,NORM,2,0.2,0.30000000000000004,58
signal_embedding_mlp,val,raw,NORM,3,0.30000000000000004,0.4,61
signal_embedding_mlp,val,raw,NORM,4,0.4,0.5,59
signal_embedding_mlp,val,raw,NORM,5,0.5,0.6000000000000001,67
signal_embedding_mlp,val,raw,NORM,6,0.6000000000000001,0.7000000000000001,69
signal_embedding_mlp,val,raw,NORM,7,0.7000000000000001,0.8,94
signal_embedding_mlp,val,raw,NORM,8,0.8,0.9,142
signal_embedding_mlp,val,raw,NORM,9,0.9,1.0,648
signal_embedding_mlp,val,raw,MI,0,0.0,0.1,1364
signal_embedding_mlp,val,raw,MI,1,0.1,0.2,150
signal_embedding_mlp,val,raw,MI,2,0.2,0.30000000000000004,81
signal_embedding_mlp,val,raw,MI,3,0.30000000000000004,0.4,67
signal_embedding_mlp,val,raw,MI,4,0.4,0.5,53
signal_embedding_mlp,val,raw,MI,5,0.5,0.6000000000000001,48
signal_embedding_mlp,val,raw,MI,6,0.6000000000000001,0.7000000000000001,60
signal_embedding_mlp,val,raw,MI,7,0.7000000000000001,0.8,66
signal_embedding_mlp,val,raw,MI,8,0.8,0.9,90
signal_embedding_mlp,val,raw,MI,9,0.9,1.0,204
signal_embedding_mlp,val,raw,STTC,0,0.0,0.1,1243
signal_embedding_mlp,val,raw,STTC,1,0.1,0.2,138
signal_embedding_mlp,val,raw,STTC,2,0.2,0.30000000000000004,105
signal_embedding_mlp,val,raw,STTC,3,0.30000000000000004,0.4,93
signal_embedding_mlp,val,raw,STTC,4,0.4,0.5,89
signal_embedding_mlp,val,raw,STTC,5,0.5,0.6000000000000001,71
signal_embedding_mlp,val,raw,STTC,6,0.6000000000000001,0.7000000000000001,72
signal_embedding_mlp,val,raw,STTC,7,0.7000000000000001,0.8,69
signal_embedding_mlp,val,raw,STTC,8,0.8,0.9,132
signal_embedding_mlp,val,raw,STTC,9,0.9,1.0,171
signal_embedding_mlp,val,raw,CD,0,0.0,0.1,1381
signal_embedding_mlp,val,raw,CD,1,0.1,0.2,134
signal_embedding_mlp,val,raw,CD,2,0.2,0.30000000000000004,81
signal_embedding_mlp,val,raw,CD,3,0.30000000000000004,0.4,59
signal_embedding_mlp,val,raw,CD,4,0.4,0.5,40
signal_embedding_mlp,val,raw,CD,5,0.5,0.6000000000000001,46
signal_embedding_mlp,val,raw,CD,6,0.6000000000000001,0.7000000000000001,40
signal_embedding_mlp,val,raw,CD,7,0.7000000000000001,0.8,48
signal_embedding_mlp,val,raw,CD,8,0.8,0.9,64
signal_embedding_mlp,val,raw,CD,9,0.9,1.0,290
signal_embedding_mlp,val,raw,HYP,0,0.0,0.1,1582
signal_embedding_mlp,val,raw,HYP,1,0.1,0.2,225
signal_embedding_mlp,val,raw,HYP,2,0.2,0.30000000000000004,109
signal_embedding_mlp,val,raw,HYP,3,0.30000000000000004,0.4,60
signal_embedding_mlp,val,raw,HYP,4,0.4,0.5,53
signal_embedding_mlp,val,raw,HYP,5,0.5,0.6000000000000001,55
signal_embedding_mlp,val,raw,HYP,6,0.6000000000000001,0.7000000000000001,31
signal_embedding_mlp,val,raw,HYP,7,0.7000000000000001,0.8,27
signal_embedding_mlp,val,raw,HYP,8,0.8,0.9,31
signal_embedding_mlp,val,raw,HYP,9,0.9,1.0,10
signal_embedding_mlp,val,temperature_scaled,NORM,0,0.0,0.1,820
signal_embedding_mlp,val,temperature_scaled,NORM,1,0.1,0.2,96
signal_embedding_mlp,val,temperature_scaled,NORM,2,0.2,0.30000000000000004,94
signal_embedding_mlp,val,temperature_scaled,NORM,3,0.30000000000000004,0.4,78
signal_embedding_mlp,val,temperature_scaled,NORM,4,0.4,0.5,75
signal_embedding_mlp,val,temperature_scaled,NORM,5,0.5,0.6000000000000001,99
signal_embedding_mlp,val,temperature_scaled,NORM,6,0.6000000000000001,0.7000000000000001,83
signal_embedding_mlp,val,temperature_scaled,NORM,7,0.7000000000000001,0.8,120
signal_embedding_mlp,val,temperature_scaled,NORM,8,0.8,0.9,241
signal_embedding_mlp,val,temperature_scaled,NORM,9,0.9,1.0,477
signal_embedding_mlp,val,temperature_scaled,MI,0,0.0,0.1,1196
signal_embedding_mlp,val,temperature_scaled,MI,1,0.1,0.2,234
signal_embedding_mlp,val,temperature_scaled,MI,2,0.2,0.30000000000000004,118
signal_embedding_mlp,val,temperature_scaled,MI,3,0.30000000000000004,0.4,95
signal_embedding_mlp,val,temperature_scaled,MI,4,0.4,0.5,72
signal_embedding_mlp,val,temperature_scaled,MI,5,0.5,0.6000000000000001,65
signal_embedding_mlp,val,temperature_scaled,MI,6,0.6000000000000001,0.7000000000000001,81
signal_embedding_mlp,val,temperature_scaled,MI,7,0.7000000000000001,0.8,82
signal_embedding_mlp,val,temperature_scaled,MI,8,0.8,0.9,108
signal_embedding_mlp,val,temperature_scaled,MI,9,0.9,1.0,132
signal_embedding_mlp,val,temperature_scaled,STTC,0,0.0,0.1,1176
signal_embedding_mlp,val,temperature_scaled,STTC,1,0.1,0.2,169
signal_embedding_mlp,val,temperature_scaled,STTC,2,0.2,0.30000000000000004,117
signal_embedding_mlp,val,temperature_scaled,STTC,3,0.30000000000000004,0.4,109
signal_embedding_mlp,val,temperature_scaled,STTC,4,0.4,0.5,97
signal_embedding_mlp,val,temperature_scaled,STTC,5,0.5,0.6000000000000001,79
signal_embedding_mlp,val,temperature_scaled,STTC,6,0.6000000000000001,0.7000000000000001,87
signal_embedding_mlp,val,temperature_scaled,STTC,7,0.7000000000000001,0.8,76
signal_embedding_mlp,val,temperature_scaled,STTC,8,0.8,0.9,147
signal_embedding_mlp,val,temperature_scaled,STTC,9,0.9,1.0,126
signal_embedding_mlp,val,temperature_scaled,CD,0,0.0,0.1,1276
signal_embedding_mlp,val,temperature_scaled,CD,1,0.1,0.2,194
signal_embedding_mlp,val,temperature_scaled,CD,2,0.2,0.30000000000000004,104
signal_embedding_mlp,val,temperature_scaled,CD,3,0.30000000000000004,0.4,69
signal_embedding_mlp,val,temperature_scaled,CD,4,0.4,0.5,52
signal_embedding_mlp,val,temperature_scaled,CD,5,0.5,0.6000000000000001,50
signal_embedding_mlp,val,temperature_scaled,CD,6,0.6000000000000001,0.7000000000000001,51
signal_embedding_mlp,val,temperature_scaled,CD,7,0.7000000000000001,0.8,51
signal_embedding_mlp,val,temperature_scaled,CD,8,0.8,0.9,93
signal_embedding_mlp,val,temperature_scaled,CD,9,0.9,1.0,243
signal_embedding_mlp,val,temperature_scaled,HYP,0,0.0,0.1,1348
signal_embedding_mlp,val,temperature_scaled,HYP,1,0.1,0.2,359
signal_embedding_mlp,val,temperature_scaled,HYP,2,0.2,0.30000000000000004,162
signal_embedding_mlp,val,temperature_scaled,HYP,3,0.30000000000000004,0.4,97
signal_embedding_mlp,val,temperature_scaled,HYP,4,0.4,0.5,63
