ptbxl_plus_feature,base_feature,location,summary_statistic,derivability,description_found,description_id,ecgdeli_feature,unit,description,comment,recipe_status,still_missing_for_exact_reproduction
P_Morph_I,P_Morph,I,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_I_iqr,P_Morph,I,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_I_count,P_Morph,I,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_II,P_Morph,II,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_II_iqr,P_Morph,II,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_II_count,P_Morph,II,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_III,P_Morph,III,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_III_iqr,P_Morph,III,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_III_count,P_Morph,III,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V1,P_Morph,V1,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V1_iqr,P_Morph,V1,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V1_count,P_Morph,V1,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V2,P_Morph,V2,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V2_iqr,P_Morph,V2,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V2_count,P_Morph,V2,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V3,P_Morph,V3,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V3_iqr,P_Morph,V3,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V3_count,P_Morph,V3,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V4,P_Morph,V4,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V4_iqr,P_Morph,V4,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V4_count,P_Morph,V4,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V5,P_Morph,V5,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V5_iqr,P_Morph,V5,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V5_count,P_Morph,V5,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V6,P_Morph,V6,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V6_iqr,P_Morph,V6,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_V6_count,P_Morph,V6,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVF,P_Morph,aVF,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVF_iqr,P_Morph,aVF,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVF_count,P_Morph,aVF,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVL,P_Morph,aVL,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVL_iqr,P_Morph,aVL,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVL_count,P_Morph,aVL,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVR,P_Morph,aVR,mean,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVR_iqr,P_Morph,aVR,iqr,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
P_Morph_aVR_count,P_Morph,aVR,count,requires_morphology_function,True,P_Morph_X,PWm_X,integer,"P wave morphology in lead X (-3: negative m-shaped, -2: negative biphasic, -1: negative monophasic, 1: positive monophasic, 2: positive biphasic, 3: positive m-shaped for KIT, Glasgow & GE only between -2 and 2)",nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_I,QT_IntCorr,I,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_I_iqr,QT_IntCorr,I,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_I_count,QT_IntCorr,I,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_II,QT_IntCorr,II,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_II_iqr,QT_IntCorr,II,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_II_count,QT_IntCorr,II,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_III,QT_IntCorr,III,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_III_iqr,QT_IntCorr,III,iqr,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_III_count,QT_IntCorr,III,count,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
QT_IntCorr_V1,QT_IntCorr,V1,mean,requires_extra_formula,True,QT_IntCorr_X,QTci_X,ms,Q-T interval corrected based on Framingham formula in lead X,nan,semantic_description_only,"Exact beat inclusion, preprocessing, summary aggregation, missing-value handling, and numeric agreement against official PTB-XL+ remain unresolved."
