ecg_id,model_name,label,lead,importance_score,rank,method
208,strong_signal_only,NORM,V1,0.0036951282527297735,1,saliency_gradient_x_input
208,strong_signal_only,NORM,II,0.0032001659274101257,2,saliency_gradient_x_input
208,strong_signal_only,NORM,I,0.003140925196930766,3,saliency_gradient_x_input
208,strong_signal_only,NORM,V6,0.002993113361299038,4,saliency_gradient_x_input
208,strong_signal_only,NORM,aVF,0.0028537665493786335,5,saliency_gradient_x_input
208,strong_signal_only,NORM,aVR,0.0024852959904819727,6,saliency_gradient_x_input
208,strong_signal_only,NORM,V4,0.0023553723003715277,7,saliency_gradient_x_input
208,strong_signal_only,NORM,V2,0.0021875454112887383,8,saliency_gradient_x_input
208,strong_signal_only,NORM,V3,0.0018252438167110085,9,saliency_gradient_x_input
208,strong_signal_only,NORM,V5,0.0018100966699421406,10,saliency_gradient_x_input
208,strong_signal_only,NORM,III,0.0017773713916540146,11,saliency_gradient_x_input
208,strong_signal_only,NORM,aVL,0.0016834421548992395,12,saliency_gradient_x_input
15507,strong_signal_only,NORM,V2,0.003648269921541214,1,saliency_gradient_x_input
15507,strong_signal_only,NORM,aVF,0.003547761822119355,2,saliency_gradient_x_input
15507,strong_signal_only,NORM,V6,0.003496157703921199,3,saliency_gradient_x_input
15507,strong_signal_only,NORM,I,0.003448603441938758,4,saliency_gradient_x_input
15507,strong_signal_only,NORM,V1,0.003415205515921116,5,saliency_gradient_x_input
15507,strong_signal_only,NORM,II,0.003254560986533761,6,saliency_gradient_x_input
15507,strong_signal_only,NORM,V4,0.0027778628282248974,7,saliency_gradient_x_input
15507,strong_signal_only,NORM,aVR,0.002730155596509576,8,saliency_gradient_x_input
15507,strong_signal_only,NORM,III,0.0022862327750772238,9,saliency_gradient_x_input
15507,strong_signal_only,NORM,V5,0.0022178315557539463,10,saliency_gradient_x_input
15507,strong_signal_only,NORM,aVL,0.0021001065615564585,11,saliency_gradient_x_input
15507,strong_signal_only,NORM,V3,0.0018617897294461727,12,saliency_gradient_x_input
504,strong_signal_only,NORM,I,0.0033336947672069073,1,saliency_gradient_x_input
504,strong_signal_only,NORM,V6,0.0031562543008476496,2,saliency_gradient_x_input
504,strong_signal_only,NORM,II,0.0027537124697118998,3,saliency_gradient_x_input
504,strong_signal_only,NORM,aVR,0.0027295942418277264,4,saliency_gradient_x_input
504,strong_signal_only,NORM,V1,0.002457041060552001,5,saliency_gradient_x_input
504,strong_signal_only,NORM,aVF,0.0023183273151516914,6,saliency_gradient_x_input
504,strong_signal_only,NORM,V2,0.002276510698720813,7,saliency_gradient_x_input
504,strong_signal_only,NORM,V4,0.002159832278266549,8,saliency_gradient_x_input
504,strong_signal_only,NORM,V3,0.0019969181157648563,9,saliency_gradient_x_input
504,strong_signal_only,NORM,aVL,0.0018919416470453143,10,saliency_gradient_x_input
504,strong_signal_only,NORM,V5,0.001840977929532528,11,saliency_gradient_x_input
504,strong_signal_only,NORM,III,0.0013250545598566532,12,saliency_gradient_x_input
2368,strong_signal_only,NORM,I,0.0035884857643395662,1,saliency_gradient_x_input
2368,strong_signal_only,NORM,II,0.0030749100260436535,2,saliency_gradient_x_input
2368,strong_signal_only,NORM,V6,0.002916192403063178,3,saliency_gradient_x_input
2368,strong_signal_only,NORM,V1,0.0028888939414173365,4,saliency_gradient_x_input
2368,strong_signal_only,NORM,V2,0.0028670686297118664,5,saliency_gradient_x_input
2368,strong_signal_only,NORM,aVR,0.002863963833078742,6,saliency_gradient_x_input
2368,strong_signal_only,NORM,aVF,0.0026599878910928965,7,saliency_gradient_x_input
2368,strong_signal_only,NORM,aVL,0.0025864937342703342,8,saliency_gradient_x_input
2368,strong_signal_only,NORM,V4,0.0024376295041292906,9,saliency_gradient_x_input
2368,strong_signal_only,NORM,V5,0.0019140085205435753,10,saliency_gradient_x_input
2368,strong_signal_only,NORM,V3,0.001832772744819522,11,saliency_gradient_x_input
2368,strong_signal_only,NORM,III,0.0016242265701293945,12,saliency_gradient_x_input
1745,strong_signal_only,NORM,V1,0.003930765204131603,1,saliency_gradient_x_input
1745,strong_signal_only,NORM,V2,0.0028410693630576134,2,saliency_gradient_x_input
1745,strong_signal_only,NORM,II,0.0027167554944753647,3,saliency_gradient_x_input
1745,strong_signal_only,NORM,I,0.002685641637071967,4,saliency_gradient_x_input
1745,strong_signal_only,NORM,V6,0.0026171354111284018,5,saliency_gradient_x_input
1745,strong_signal_only,NORM,aVF,0.002596320817247033,6,saliency_gradient_x_input
1745,strong_signal_only,NORM,aVR,0.0022952219005674124,7,saliency_gradient_x_input
1745,strong_signal_only,NORM,V4,0.002110130153596401,8,saliency_gradient_x_input
1745,strong_signal_only,NORM,aVL,0.001927827368490398,9,saliency_gradient_x_input
1745,strong_signal_only,NORM,III,0.0018991930410265923,10,saliency_gradient_x_input
1745,strong_signal_only,NORM,V5,0.0018523961771279573,11,saliency_gradient_x_input
1745,strong_signal_only,NORM,V3,0.0016893555875867605,12,saliency_gradient_x_input
7684,strong_signal_only,CD,II,0.004108554683625698,1,saliency_gradient_x_input
7684,strong_signal_only,CD,aVR,0.003781050443649292,2,saliency_gradient_x_input
7684,strong_signal_only,CD,V1,0.003112936858087778,3,saliency_gradient_x_input
7684,strong_signal_only,CD,V6,0.0030073586385697126,4,saliency_gradient_x_input
7684,strong_signal_only,CD,aVF,0.0028984472155570984,5,saliency_gradient_x_input
7684,strong_signal_only,CD,V4,0.0027901397552341223,6,saliency_gradient_x_input
7684,strong_signal_only,CD,I,0.002712058601900935,7,saliency_gradient_x_input
7684,strong_signal_only,CD,III,0.0021670630667358637,8,saliency_gradient_x_input
7684,strong_signal_only,CD,V3,0.002095788484439254,9,saliency_gradient_x_input
7684,strong_signal_only,CD,V2,0.002015267964452505,10,saliency_gradient_x_input
7684,strong_signal_only,CD,V5,0.0019388672662898898,11,saliency_gradient_x_input
7684,strong_signal_only,CD,aVL,0.0017411195440217853,12,saliency_gradient_x_input
11319,strong_signal_only,STTC,I,0.004480185452848673,1,saliency_gradient_x_input
11319,strong_signal_only,STTC,II,0.0034590736031532288,2,saliency_gradient_x_input
11319,strong_signal_only,STTC,V2,0.003214344149455428,3,saliency_gradient_x_input
11319,strong_signal_only,STTC,aVF,0.0031744029838591814,4,saliency_gradient_x_input
11319,strong_signal_only,STTC,V1,0.002878630766645074,5,saliency_gradient_x_input
11319,strong_signal_only,STTC,V6,0.00248641986399889,6,saliency_gradient_x_input
11319,strong_signal_only,STTC,aVR,0.0024111620150506496,7,saliency_gradient_x_input
11319,strong_signal_only,STTC,aVL,0.002354910597205162,8,saliency_gradient_x_input
11319,strong_signal_only,STTC,III,0.0020124418660998344,9,saliency_gradient_x_input
11319,strong_signal_only,STTC,V3,0.0018465452594682574,10,saliency_gradient_x_input
11319,strong_signal_only,STTC,V4,0.0015999156748875976,11,saliency_gradient_x_input
11319,strong_signal_only,STTC,V5,0.0014167425688356161,12,saliency_gradient_x_input
12785,strong_signal_only,STTC,II,0.0032520766835659742,1,saliency_gradient_x_input
12785,strong_signal_only,STTC,V1,0.0029026884585618973,2,saliency_gradient_x_input
12785,strong_signal_only,STTC,V2,0.0028376877307891846,3,saliency_gradient_x_input
12785,strong_signal_only,STTC,aVR,0.002556410850957036,4,saliency_gradient_x_input
12785,strong_signal_only,STTC,aVF,0.002040768973529339,5,saliency_gradient_x_input
12785,strong_signal_only,STTC,V4,0.0018563477788120508,6,saliency_gradient_x_input
12785,strong_signal_only,STTC,V6,0.0017448215512558818,7,saliency_gradient_x_input
12785,strong_signal_only,STTC,V3,0.0017078054370358586,8,saliency_gradient_x_input
12785,strong_signal_only,STTC,I,0.0013084752717986703,9,saliency_gradient_x_input
12785,strong_signal_only,STTC,V5,0.0010554044274613261,10,saliency_gradient_x_input
12785,strong_signal_only,STTC,III,0.0009339825483039021,11,saliency_gradient_x_input
12785,strong_signal_only,STTC,aVL,0.0007682708674110472,12,saliency_gradient_x_input
2598,strong_signal_only,HYP,V4,0.0032478931825608015,1,saliency_gradient_x_input
2598,strong_signal_only,HYP,V6,0.002840148750692606,2,saliency_gradient_x_input
2598,strong_signal_only,HYP,V1,0.002750067040324211,3,saliency_gradient_x_input
2598,strong_signal_only,HYP,aVR,0.0023643854074180126,4,saliency_gradient_x_input
2598,strong_signal_only,HYP,II,0.0022603855468332767,5,saliency_gradient_x_input
2598,strong_signal_only,HYP,V3,0.0018129380187019706,6,saliency_gradient_x_input
2598,strong_signal_only,HYP,V2,0.0017535258084535599,7,saliency_gradient_x_input
2598,strong_signal_only,HYP,I,0.0015236701583489776,8,saliency_gradient_x_input
2598,strong_signal_only,HYP,aVF,0.0014893574407324195,9,saliency_gradient_x_input
2598,strong_signal_only,HYP,V5,0.0013718112604692578,10,saliency_gradient_x_input
2598,strong_signal_only,HYP,III,0.0009313289192505181,11,saliency_gradient_x_input
2598,strong_signal_only,HYP,aVL,0.0008461325196549296,12,saliency_gradient_x_input
1426,strong_signal_only,CD,V1,0.005151975899934769,1,saliency_gradient_x_input
1426,strong_signal_only,CD,V2,0.004789060913026333,2,saliency_gradient_x_input
1426,strong_signal_only,CD,II,0.0035942140966653824,3,saliency_gradient_x_input
1426,strong_signal_only,CD,I,0.0033375525381416082,4,saliency_gradient_x_input
1426,strong_signal_only,CD,V4,0.0031333635561168194,5,saliency_gradient_x_input
1426,strong_signal_only,CD,V6,0.002999364398419857,6,saliency_gradient_x_input
1426,strong_signal_only,CD,aVR,0.0028194417245686054,7,saliency_gradient_x_input
1426,strong_signal_only,CD,aVF,0.0027770576998591423,8,saliency_gradient_x_input
1426,strong_signal_only,CD,V3,0.002466329140588641,9,saliency_gradient_x_input
1426,strong_signal_only,CD,aVL,0.0022989576682448387,10,saliency_gradient_x_input
1426,strong_signal_only,CD,III,0.0021087618079036474,11,saliency_gradient_x_input
1426,strong_signal_only,CD,V5,0.0018194052390754223,12,saliency_gradient_x_input
10661,strong_signal_only,HYP,V6,0.003977503627538681,1,saliency_gradient_x_input
10661,strong_signal_only,HYP,aVR,0.0037798115517944098,2,saliency_gradient_x_input
10661,strong_signal_only,HYP,II,0.003479665145277977,3,saliency_gradient_x_input
10661,strong_signal_only,HYP,I,0.0034765296149998903,4,saliency_gradient_x_input
10661,strong_signal_only,HYP,V1,0.0027793822810053825,5,saliency_gradient_x_input
10661,strong_signal_only,HYP,aVL,0.0027284652460366488,6,saliency_gradient_x_input
10661,strong_signal_only,HYP,V2,0.0024153389967978,7,saliency_gradient_x_input
10661,strong_signal_only,HYP,aVF,0.002368462970480323,8,saliency_gradient_x_input
10661,strong_signal_only,HYP,V4,0.0022179444786161184,9,saliency_gradient_x_input
10661,strong_signal_only,HYP,V3,0.0020265786442905664,10,saliency_gradient_x_input
10661,strong_signal_only,HYP,III,0.0018384299473837018,11,saliency_gradient_x_input
10661,strong_signal_only,HYP,V5,0.0018008657498285174,12,saliency_gradient_x_input
4336,strong_signal_only,MI,aVF,0.004628938622772694,1,saliency_gradient_x_input
4336,strong_signal_only,MI,aVR,0.0038129857275635004,2,saliency_gradient_x_input
4336,strong_signal_only,MI,V1,0.0037173416931182146,3,saliency_gradient_x_input
4336,strong_signal_only,MI,II,0.0037038924638181925,4,saliency_gradient_x_input
4336,strong_signal_only,MI,V6,0.0030823657289147377,5,saliency_gradient_x_input
4336,strong_signal_only,MI,V2,0.0029906544368714094,6,saliency_gradient_x_input
4336,strong_signal_only,MI,I,0.002439197152853012,7,saliency_gradient_x_input
4336,strong_signal_only,MI,V5,0.002382531063631177,8,saliency_gradient_x_input
4336,strong_signal_only,MI,V3,0.0022722429130226374,9,saliency_gradient_x_input
4336,strong_signal_only,MI,III,0.001950254780240357,10,saliency_gradient_x_input
4336,strong_signal_only,MI,V4,0.0018181754276156425,11,saliency_gradient_x_input
4336,strong_signal_only,MI,aVL,0.001645902986638248,12,saliency_gradient_x_input
