feature_name,source_stage,allclose_status,missingness,numeric_stability_summary,official_nonmissing,recomputed_nonmissing,mean_abs_error,max_abs_error
QRS_Dur_V3_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QRS_Dur_V4_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QRS_Dur_V5_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QRS_Dur_V6_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QRS_Dur_aVF_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QRS_Dur_aVL_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QRS_Dur_aVR_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QRS_Dur_Global_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_I_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_II_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_III_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_V1_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_V2_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_V3_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_V4_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_V5_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_V6_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_aVF_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_aVL_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_aVR_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
QT_Int_Global_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_I_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_II_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_III_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_V1_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_V2_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_V3_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_V4_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_V5_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_V6_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_aVF_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_aVL_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
R_Amp_aVR_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_I_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_II_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_III_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_V1_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_V2_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_V3_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_V4_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_V5_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_V6_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_aVF_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_aVL_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
S_Amp_aVR_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_I_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_II_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_III_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_V1_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_V2_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_V3_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_V4_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_V5_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_V6_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_aVF_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_aVL_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Amp_aVR_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_I_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_II_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_III_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_V1_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_V2_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_V3_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_V4_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_V5_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_V6_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_aVF_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_aVL_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_DurFull_aVR_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
T_Dur_Global_count,Stage 14H PTB-XL internal ECGdeli direct recomputation audit,allclose_atol_1e-6_rtol_1e-6,0.0,n_pairs=3; mean_abs_error=0; median_abs_error=0; max_abs_error=0,3,3,0.0,0.0
